state,obama,romney,obama_count,romney_count,total_count,state_name,ev
AL,38.36,60.55,795696,1255925,2074338,Alabama,9
AK,40.81,54.8,122640,164676,300495,Alaska,3
AZ,44.59,53.65,1025232,1233654,2299254,Arizona,11
AR,36.88,60.57,394409,647744,1069468,Arkansas,6
CA,60.24,37.12,7854285,4839958,13038547,California,55
CO,51.49,46.13,1323101,1185243,2569520,Colorado,9
CT,58.06,40.73,905083,634892,1558960,Connecticut,7
DE,58.61,39.98,242584,165484,413921,Delaware,3
FL,50.01,49.13,4237756,4163447,8474179,Florida,29
GA,45.48,53.3,1773827,2078688,3900050,Georgia,16
HI,70.55,27.84,306658,121015,434697,Hawaii,4
ID,32.62,64.53,212787,420911,652274,Idaho,4
IL,57.6,40.73,3019512,2135216,5242014,Illinois,20
IN,43.93,54.13,1152887,1420543,2624534,Indiana,11
IA,51.99,46.18,822544,730617,1582180,Iowa,6
KS,37.99,59.71,440726,692634,1159971,Kansas,6
KY,37.8,60.49,679370,1087190,1797212,Kentucky,8
LA,40.58,57.78,809141,1152262,1994065,Louisiana,8
ME,56.27,40.98,401306,292276,713180,Maine,4
MD,61.97,35.9,1677844,971869,2707327,Maryland,10
MA,60.65,37.51,1921290,1188314,3167767,Massachusetts,11
MI,54.21,44.71,2564569,2115256,4730961,Michigan,16
MN,52.65,44.96,1546167,1320225,2936561,Minnesota,10
MS,43.79,55.29,562949,710746,1285584,Mississippi,6
MO,44.38,53.76,1223796,1482440,2757323,Missouri,10
MT,41.7,55.35,201839,267928,484048,Montana,3
NE,38.03,59.8,302081,475064,794379,Nebraska,5
NV,52.36,45.68,531373,463567,1014918,Nevada,6
NH,51.98,46.4,369561,329918,710972,New Hampshire,4
NJ,58.38,40.59,2125101,1477568,3640292,New Jersey,14
NM,52.99,42.84,415335,335788,783758,New Mexico,5
NY,63.35,35.17,4485741,2490431,7081159,New York,29
NC,48.35,50.39,2178391,2270395,4505372,North Carolina,15
ND,38.69,58.32,124827,188163,322627,North Dakota,3
OH,50.67,47.69,2827710,2661433,5580840,Ohio,18
OK,33.23,66.77,443547,891325,1334872,Oklahoma,7
OR,54.24,42.15,970488,754175,1789270,Oregon,7
PA,51.97,46.59,2990274,2680434,5753670,Pennsylvania,20
RI,62.7,35.24,279677,157204,446049,Rhode Island,4
SC,44.09,54.56,865941,1071645,1964118,South Carolina,9
SD,39.87,57.89,145039,210610,363815,South Dakota,3
TN,39.08,59.48,960709,1462330,2458577,Tennessee,11
TX,41.38,57.17,3308124,4569843,7993851,Texas,38
UT,24.75,72.79,251813,740600,1017440,Utah,6
VT,66.57,35.6,199239,92698,299290,Vermont,3
VA,51.16,47.28,1971820,1822522,3854489,Virginia,13
WA,56.16,41.29,1755396,1290670,3125516,Washington,12
WV,35.54,62.3,238269,417655,670438,West Virginia,5
WI,52.83,45.89,1620985,1407966,3068434,Wisconsin,10
WY,27.82,68.64,69286,170962,249061,Wyoming,3
DC,90.91,7.28,267070,21381,293764,D.C.,3
